	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	Non-US	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
PRINCETON					18.9%									0.7%								17.6%									4.4%			34.3%	4.6%		3.8%		1.3%	14.4%									0.0%				
PROVIDENCE										14.1%	24.5%										9.5%	16.1%	0.0%								7.9%		0.0%	0.4%						7.1%		0.4%							20.2%				
PURDUE					0.2%									15.9%	62.7%											0.2%								17.5%						3.5%													
QUINNIPIAC					1.5%		0.4%														19.6%					12.8%					13.5%		22.7%	12.2%						17.3%													
RADFORD									3.1%	11.4%	13.9%			7.7%					9.1%		0.0%														31.2%											0.0%			23.5%				
RHODE-ISLAND									53.6%												0.0%			11.0%							3.4%		10.7%							0.4%		3.4%			1.3%				16.2%				
RICE			4.3%		5.5%					11.7%	17.1%											38.9%											1.3%	3.0%	7.4%											10.7%							
RICHMOND																						24.6%	0.0%			14.2%					0.4%		1.1%	17.2%	6.4%		0.0%			5.7%									30.3%			0.0%	
RIDER					3.8%		7.9%				19.2%																				0.3%		19.6%	13.0%	2.5%		8.8%			24.9%													
ROBERT-MORRIS									0.3%																						12.6%		33.1%	0.7%						2.6%		11.5%	8.9%			17.9%		10.7%		1.7%			
RUTGERS					2.9%					10.4%	0.0%							0.0%			1.1%									12.1%	33.0%		8.6%	23.6%	2.0%											6.3%							
SACRAMENTO-STATE			26.8%		50.8%		2.5%								12.6%																			7.2%																			
SACRED-HEART					7.4%		33.8%				11.4%										0.0%	1.8%									31.2%		6.2%	7.5%								0.0%							0.7%				
SAINT-FRANCIS-PA		2.9%																			16.1%										55.4%						14.0%			11.6%													
SAINT-JOSEPHS										0.4%											23.6%	1.8%									22.7%			20.1%						31.4%													
SAINT-LOUIS										1.9%			5.4%	11.2%									1.6%			34.2%								25.8%															19.9%				
SAINT-MARYS-CA			14.5%		16.8%																													62.3%													0.0%			6.3%			
SAINT-PETERS					18.6%		9.2%															3.5%									24.3%		12.6%	23.0%						5.9%	2.9%												
SAM-HOUSTON-STATE	16.6%													6.2%			2.5%								7.9%	5.2%								4.1%				10.4%								47.0%							
SAMFORD	22.2%				14.6%					12.4%	3.8%						8.3%	0.4%																15.0%	2.7%										20.5%	0.0%							
SAN-DIEGO-STATE					49.1%																	6.9%						5.3%						24.7%						0.0%						14.0%			0.0%				
SAN-DIEGO					29.9%					0.0%																							19.8%	15.0%						5.7%		9.8%				19.8%							
SAN-FRANCISCO			0.0%		31.9%												4.2%																	42.2%	5.5%				0.2%											16.0%			
SAN-JOSE-STATE					55.2%									12.3%																				32.5%													0.0%						
SANTA-CLARA			24.6%		8.3%						0.2%			11.9%			11.5%		6.7%			2.4%												15.0%																		19.4%	
SEATTLE					64.9%																													10.3%					2.0%											22.8%			
SETON-HALL	0.9%				0.5%			8.9%													0.0%		9.4%								24.4%		30.5%	25.0%												0.4%							
SIENA					15.5%		8.7%			4.7%	21.0%					2.5%					6.2%										0.6%		25.2%	4.2%											11.5%								
SOUTH-ALABAMA				13.7%						10.7%	3.6%			0.9%				0.3%			2.2%												21.4%	14.1%											12.5%	20.7%			0.0%				
SOUTH-CAROLINA-STATE					0.3%					0.0%											17.3%										10.3%			9.8%	2.2%								18.6%		32.4%	9.0%							
SOUTH-CAROLINA-UPSTATE			15.6%							9.7%	17.9%																							0.0%	16.5%								40.3%										
SOUTH-CAROLINA										21.0%					10.4%						3.2%	12.1%									3.1%		4.4%	1.9%	0.3%								27.8%							15.8%			
SOUTH-DAKOTA-STATE																36.6%	10.8%							0.0%				26.7%																16.4%								9.5%	
SOUTH-DAKOTA			21.3%													0.0%								2.4%				1.9%						47.0%										19.9%									7.4%
SOUTH-FLORIDA										8.6%	52.0%																							9.9%	8.9%		20.7%																
SOUTHEAST-MISSOURI-STATE										4.3%	9.4%			27.2%					20.2%							27.9%		1.3%																		9.6%						0.0%	
SOUTHEASTERN-LOUISIANA							9.0%			34.3%	1.8%							0.8%	8.1%		18.3%	14.0%			1.7%									1.0%				6.2%								4.7%				0.0%			
SOUTHERN-CALIFORNIA					66.1%	0.0%								14.6%																				1.2%									17.2%									0.9%	
SOUTHERN-ILLINOIS-EDWARDSVILLE				18.0%	35.1%									26.1%												1.7%								1.2%	2.6%										9.9%							5.5%	
SOUTHERN-ILLINOIS			0.7%	1.3%										43.3%									0.0%											24.5%																		30.1%	
SOUTHERN-METHODIST										3.8%							23.3%																	17.5%												55.4%							
SOUTHERN-MISSISSIPPI	0.0%									9.8%	11.8%								14.4%						34.6%									0.2%									29.2%										
SOUTHERN-UTAH			30.1%		13.7%						1.9%										4.5%				19.6%				0.0%					5.9%		8.7%											15.8%						
SOUTHERN										17.3%								0.0%	14.6%		15.5%		0.0%		0.0%						0.2%		19.6%												5.6%	27.3%							
ST-BONAVENTURE										3.8%					17.3%																34.7%		15.6%	28.6%																			
ST-FRANCIS-NY																	7.2%													0.0%	30.4%		18.6%	24.7%	5.7%							13.4%											
ST-JOHNS-NY							6.1%			0.0%							4.3%				11.8%							1.4%					64.6%	11.9%																			
STANFORD			0.5%		19.3%		17.4%										12.1%											5.0%	6.5%				10.3%	11.8%	0.0%											17.3%							
STEPHEN-F-AUSTIN														11.4%					0.7%				0.6%		10.6%									22.7%						14.8%						39.3%							
STETSON					2.1%					44.6%	0.3%				8.7%																			26.6%			1.3%	0.6%					15.8%										
STONY-BROOK																						9.1%	18.3%								4.2%		35.6%	1.6%			6.5%												6.7%		18.1%		
SYRACUSE					0.0%		0.0%											0.0%			2.9%										0.0%		62.4%	17.8%						0.4%		16.5%											
TARLETON-STATE				16.5%							1.3%			0.5%	1.0%								1.7%								0.0%		0.0%	7.4%	21.2%			0.8%								49.6%							
TEMPLE										8.1%				15.2%											0.4%						39.4%				22.2%		0.4%			10.0%						4.3%							
TENNESSEE-MARTIN										37.3%	0.0%							3.7%							8.3%	9.8%									11.5%					0.7%					28.6%								
TENNESSEE-STATE					1.1%					6.1%															13.8%	1.3%								1.5%	0.0%		6.2%						7.8%		61.2%	1.1%							
TENNESSEE-TECH	16.7%			6.8%	1.6%						8.9%							11.6%																21.3%											33.1%								
TENNESSEE					1.2%						0.0%							7.6%															8.7%	36.5%	0.7%								6.5%		33.3%	5.5%							
TEXAS-AM-CORPUS-CHRISTI										8.9%	4.6%			9.2%	0.0%	3.8%																		18.5%						10.6%						44.5%							
TEXAS-AM				3.8%	20.9%														11.7%														8.5%	2.2%			10.3%								0.0%	30.4%			12.1%				
TEXAS-ARLINGTON			9.7%											5.9%																				28.8%												52.5%	3.1%						
TEXAS-CHRISTIAN				0.0%	13.8%																													23.2%											9.1%	53.9%							
TEXAS-EL-PASO					30.2%	15.4%								11.0%							3.4%		6.2%											0.4%												26.0%						7.5%	
TEXAS-PAN-AMERICAN	9.0%									23.3%				0.0%			0.0%									0.0%							0.3%	0.0%				1.9%								65.5%							
TEXAS-SAN-ANTONIO			4.9%							2.0%																			0.0%					9.9%	17.9%			20.6%								44.8%							
TEXAS-SOUTHERN	9.7%				0.0%														16.6%							4.8%																			1.8%	67.1%							
TEXAS-STATE											10.3%																				14.1%		1.4%					12.4%								61.8%							
TEXAS-TECH					19.7%									8.1%					3.6%			7.1%											14.5%	9.3%												24.1%			2.6%			10.9%	
TEXAS			16.8%	0.1%	2.6%	0.0%																				22.4%								13.8%						13.1%						31.2%							
TOLEDO				17.0%							2.5%			14.8%	4.1%								24.2%											6.4%			30.9%																
TOWSON								5.6%			19.2%										43.0%	19.5%												0.5%	0.2%					11.0%									1.1%				
TROY	27.1%									6.3%	9.5%								13.5%														5.1%	8.7%				0.2%							2.3%	27.2%							
TULANE	5.6%			18.0%	0.0%						9.9%			7.3%					28.4%						20.6%									0.2%			4.8%												3.9%			1.3%	
TULSA										44.1%							36.8%								1.6%									0.8%				16.8%								0.0%							
UCLA					80.2%											15.9%	1.9%												0.0%				0.0%	1.9%																			
UTAH-STATE					0.0%																16.7%													23.3%	0.3%			25.4%									34.2%						
UTAH-VALLEY			9.7%	5.0%	1.6%						2.6%		14.3%	8.5%															0.0%					25.9%												13.1%	18.0%		1.2%				
UTAH					8.2%																			16.8%			10.5%							19.1%					1.0%							10.2%	18.8%			15.3%			
VALPARAISO										15.7%				3.0%	4.2%								12.2%	2.5%										19.5%			2.5%	3.2%														37.3%	
VANDERBILT					30.0%				12.3%		17.7%					0.0%			18.1%		1.0%													8.6%	0.0%					4.3%					0.8%				7.2%				
VERMONT					9.8%					0.0%				23.4%	3.9%					3.3%		1.0%				0.8%							15.2%	0.2%			6.3%		3.7%			10.6%						21.8%					
VILLANOVA								0.2%											10.6%		21.4%	14.7%									1.3%		0.0%							37.9%									13.9%				
VIRGINIA-COMMONWEALTH										13.6%	6.5%										6.1%		14.8%			14.7%					0.0%			7.5%	4.1%		18.3%		10.0%	3.9%			0.7%						0.0%				
VIRGINIA-MILITARY-INSTITUTE	8.8%						12.1%										8.4%				22.7%					5.3%							8.0%	4.3%	1.2%								0.0%		2.6%	3.1%					23.5%		
VIRGINIA-TECH										15.4%	14.2%							0.3%			29.6%										14.1%			9.5%	0.3%			4.4%														12.3%	
VIRGINIA					15.6%										19.0%				11.6%															16.4%	35.9%														1.5%				
WAGNER				14.5%																	11.4%	0.0%									40.5%		25.7%	4.0%						3.9%													
WAKE-FOREST						10.3%				0.0%	0.5%				16.2%		0.2%	0.0%															12.8%	15.8%	17.5%		0.0%			0.0%			1.1%									25.5%	
WASHINGTON-STATE					27.1%						0.0%												17.5%										10.2%	29.9%								0.9%								14.4%			
WASHINGTON					0.0%				4.8%																				12.4%				0.0%	0.4%			0.0%			3.1%										79.4%			
WEBER-STATE					16.7%								0.0%											6.2%									9.5%	42.5%									17.8%			1.5%	5.7%						
WEST-VIRGINIA	0.0%							10.2%										19.7%				3.5%							6.9%		0.3%		4.7%	5.7%			3.6%									34.5%					11.0%		
WESTERN-CAROLINA											12.4%			19.9%			10.1%				9.8%													0.0%	12.7%								14.8%		0.0%				20.3%				
WESTERN-ILLINOIS														35.9%		39.4%								0.2%		1.4%			0.6%					15.6%																		6.8%	
WESTERN-KENTUCKY			0.5%						0.0%						5.0%			46.0%	12.8%														0.0%		17.2%											6.4%					12.2%		
WESTERN-MICHIGAN											13.2%				28.6%								48.6%						3.7%				0.0%																5.9%				
WICHITA-STATE				0.0%							7.9%				5.7%		4.2%		12.3%												19.8%			9.5%	14.0%											23.9%			2.6%				
WILLIAM-MARY					0.8%									18.3%	10.0%							0.0%	19.7%										5.9%	3.6%			17.7%			10.0%			10.5%			3.1%			0.3%				
WINTHROP					5.5%						11.6%				4.8%																			8.6%	0.7%		7.0%						45.7%		15.0%							1.0%	
WISCONSIN														0.0%				4.2%					3.8%	48.4%				10.5%						2.4%										0.0%								30.7%	
WOFFORD					12.6%									4.1%										12.1%										0.3%	30.3%		9.9%	9.8%					0.1%						1.6%			19.2%	
WRIGHT-STATE														31.6%	4.6%																						39.6%															24.2%	
WYOMING			14.8%			47.8%								25.6%			0.0%																	1.6%												5.9%				0.0%			4.4%
XAVIER	13.6%						0.0%			16.7%	9.3%			0.0%	30.0%			14.2%			1.5%										6.4%			0.0%			7.7%						0.7%										
YALE					4.1%		7.3%		4.6%		8.1%			1.1%							1.8%	27.0%									14.9%		6.1%	10.6%						14.0%			0.4%										
YOUNGSTOWN-STATE										18.9%					2.8%								2.5%			4.5%					4.0%			15.0%	8.4%		18.7%			0.0%					16.5%				8.5%		0.0%		
